year,fips,state_name,race,num_stu_total,num_stu_9_10,num_stu_11,num_stu_12,num_stu_pub_total,num_stu_pub_9_10,num_stu_pub_11,num_stu_pub_12,num_grad_ap,num_grad_pass_ap,ap_mandate,ap_funding
2014,1,Alabama,Hispanic,749,95,330,308,681,82,306,277,,,0,0
2014,1,Alabama,Total,25001,3288,11130,10111,22185,2850,10012,8887,12340,4881,0,0
2014,1,Alabama,White,17088,2303,7525,6991,14757,1936,6601,5972,,,0,0
2015,1,Alabama,Asian,1242,302,474,447,1094,268,429,379,,,0,0
2015,1,Alabama,Black,4786,433,2171,2081,4673,425,2127,2021,,,0,0
2015,1,Alabama,Hispanic,900,107,397,381,835,95,369,357,,,0,0
2015,1,Alabama,Total,26383,3295,11712,10801,23785,2907,10663,9677,13788,5497,0,0
2015,1,Alabama,White,18047,2255,8017,7444,15897,1939,7140,6514,,,0,0
2016,1,Alabama,Asian,1233,338,466,404,1072,297,394,358,,,0,0
2016,1,Alabama,Black,4364,490,2031,1781,4212,469,1965,1716,,,0,0
2016,1,Alabama,Hispanic,1488,210,698,551,1382,196,661,500,,,0,0
2016,1,Alabama,Total,27817,3944,12444,10992,24908,3551,11248,9710,13878,5748,0,0
2016,1,Alabama,White,18924,2598,8452,7658,16556,2294,7478,6590,,,0,0
2017,1,Alabama,Asian,1392,398,533,447,1208,366,457,375,,,0,0
2017,1,Alabama,Black,4637,556,2257,1753,4490,543,2192,1686,,,0,0
2017,1,Alabama,Hispanic,1799,294,784,699,1688,280,738,649,,,0,0
2017,1,Alabama,Total,29427,4596,13115,11305,26523,4218,11906,10034,14419,6063,0,0
2017,1,Alabama,White,19717,3038,8692,7768,17383,2736,7725,6738,,,0,0
2018,1,Alabama,Asian,1423,400,507,502,1253,364,452,426,,,0,0
2018,1,Alabama,Black,5185,691,2341,2059,5024,668,2280,1984,,,0,0
2018,1,Alabama,Hispanic,2016,336,876,777,1889,318,835,709,,,0,0
2018,1,Alabama,Total,30363,4868,13117,11765,27609,4431,12007,10598,15406,6388,0,0
2018,1,Alabama,White,19551,3047,8494,7745,17380,2709,7595,6840,,,0,0
2019,1,Alabama,Asian,1433,462,484,477,1265,422,419,417,,,0,0
2019,1,Alabama,Black,4879,645,2191,1977,4718,625,2126,1902,,,0,0
2019,1,Alabama,Hispanic,2084,333,928,797,1959,316,863,756,,,0,0
2019,1,Alabama,Total,29472,4960,12706,11348,26719,4521,11538,10237,15313,6415,0,0
2019,1,Alabama,White,18985,3132,8227,7436,16820,2799,7309,6547,,,0,0
2000,2,Alaska,Total,,,,,,,,,1028,677,0,0
2001,2,Alaska,Asian,123,8,50,62,121,8,49,61,,,0,0
2001,2,Alaska,Black,34,4,16,14,32,4,16,12,,,0,0
2001,2,Alaska,Hispanic,25,1,8,15,19,1,5,12,,,0,0
2001,2,Alaska,Total,1665,89,785,756,1572,89,739,713,1042,664,0,0
2001,2,Alaska,White,1299,70,629,575,1232,70,594,546,,,0,0
2002,2,Alaska,Asian,115,8,61,45,115,8,61,45,,,0,0
2002,2,Alaska,Black,25,0,13,11,25,0,13,11,,,0,0
2002,2,Alaska,Hispanic,18,0,8,10,15,0,7,8,,,0,0
2002,2,Alaska,Total,1688,71,792,792,1615,69,756,759,1085,762,0,0
2002,2,Alaska,White,1370,56,628,661,1310,54,599,634,,,0,0
2003,2,Alaska,Asian,159,13,72,71,157,13,71,70,,,0,0
