year,fips,state_name,race,num_stu_total,num_stu_9_10,num_stu_11,num_stu_12,num_stu_pub_total,num_stu_pub_9_10,num_stu_pub_11,num_stu_pub_12,num_grad_ap,num_grad_pass_ap,ap_mandate,ap_funding
2009,17,Illinois,White,39788,6566,14028,18156,34134,5835,11919,15494,,,0,0
2010,17,Illinois,Asian,7758,1775,2670,3144,7158,1614,2460,2926,,,0,0
2010,17,Illinois,Black,6775,825,2427,3249,6227,754,2216,2995,,,0,0
2010,17,Illinois,Hispanic,10006,1591,3585,4479,9021,1461,3191,4051,,,0,0
2010,17,Illinois,Total,71704,12490,24800,31528,62963,11149,21720,27535,35133,23028,0,0
2010,17,Illinois,White,42287,7611,14712,18963,36221,6702,12642,16042,,,0,0
2011,17,Illinois,Asian,8844,2223,3069,3354,8052,2018,2774,3084,,,0,0
2011,17,Illinois,Black,7884,940,2857,3761,7103,814,2573,3422,,,0,0
2011,17,Illinois,Hispanic,11763,1824,4213,5271,10598,1648,3800,4730,,,0,0
2011,17,Illinois,Total,78654,14570,27654,33778,68874,12998,23998,29545,37723,24449,0,0
2011,17,Illinois,White,45358,8660,15941,19622,38898,7698,13480,16764,,,0,0
2012,17,Illinois,Asian,9589,2406,3410,3677,8686,2203,3080,3315,,,0,0
2012,17,Illinois,Black,8334,1302,2834,4041,7498,1178,2539,3633,,,0,0
2012,17,Illinois,Hispanic,13662,2018,5257,6191,12243,1866,4678,5520,,,0,0
2012,17,Illinois,Total,85416,16652,30901,36493,74941,15069,27057,31583,40653,26461,0,0
2012,17,Illinois,White,47977,9722,17375,20394,41335,8739,14992,17192,,,0,0
2013,17,Illinois,Asian,10730,2884,3622,4053,9717,2641,3276,3641,,,0,0
2013,17,Illinois,Black,8508,1421,2966,3942,7452,1289,2605,3400,,,0,0
2013,17,Illinois,Hispanic,16080,2422,5831,7339,14494,2223,5239,6574,,,0,0
2013,17,Illinois,Total,92616,18874,32649,39069,81379,17013,28629,33900,43835,29016,0,0
2013,17,Illinois,White,52156,10896,18520,21979,45137,9720,16008,18744,,,0,0
2014,17,Illinois,Asian,11466,3236,3838,4131,10271,2904,3440,3701,,,0,0
2014,17,Illinois,Black,9554,1996,3226,4052,8488,1867,2881,3484,,,0,0
2014,17,Illinois,Hispanic,18270,3309,6464,7902,16579,3083,5859,7098,,,0,0
2014,17,Illinois,Total,99171,21772,34697,39984,87445,19724,30492,34774,45412,30055,0,0
2014,17,Illinois,White,54237,11770,19352,22064,47006,10522,16710,18839,,,0,0
2015,17,Illinois,Asian,12188,3525,3988,4370,10953,3216,3559,3896,,,0,0
2015,17,Illinois,Black,9520,2049,3129,4008,8605,1907,2803,3584,,,0,0
2015,17,Illinois,Hispanic,19967,3668,7155,8527,18354,3445,6583,7741,,,0,0
2015,17,Illinois,Total,105205,24168,36380,41464,93401,22076,32086,36295,48686,32208,0,0
2015,17,Illinois,White,56876,13236,19794,22507,49565,11965,17108,19270,,,0,0
2016,17,Illinois,Asian,12487,4147,3882,4268,11213,3782,3466,3801,,,0,0
2016,17,Illinois,Black,9314,2235,3049,3835,8357,2069,2736,3375,,,0,0
2016,17,Illinois,Hispanic,25373,5812,8946,10164,23255,5419,8199,9216,,,0,0
2016,17,Illinois,Total,112917,28877,38915,42936,100473,26385,34542,37617,49963,33428,0,0
2016,17,Illinois,White,59818,15079,21137,22741,52309,13643,18451,19489,,,0,0
2017,17,Illinois,Asian,13588,4352,4457,4460,12664,4133,4132,4092,,,0,0
2017,17,Illinois,Black,9356,2195,3263,3652,8622,2077,2991,3327,,,0,0
2017,17,Illinois,Hispanic,28391,6733,10142,10860,26750,6463,9511,10141,,,0,0
2017,17,Illinois,Total,119855,31001,41553,44323,109275,29091,37688,39683,51653,34960,0,0
2017,17,Illinois,White,62446,16101,21617,23456,55652,14897,19181,20401,,,0,0
2018,17,Illinois,Asian,14697,5046,4646,4741,13632,4798,4286,4310,,,0,0
2018,17,Illinois,Black,9536,2342,3202,3684,8745,2240,2910,3307,,,0,0
2018,17,Illinois,Hispanic,31258,8081,11162,11361,29236,7689,10439,10491,,,0,0
2018,17,Illinois,Total,125609,34149,43289,45032,114374,32042,39231,40249,55228,36952,0,0
2018,17,Illinois,White,62851,16717,22127,23015,56100,15476,19648,20140,,,0,0
2019,17,Illinois,Asian,15229,5502,4631,4921,14181,5241,4304,4486,,,0,0
2019,17,Illinois,Black,9537,2628,3282,3437,8788,2516,3020,3075,,,0,0
2019,17,Illinois,Hispanic,33300,9345,11485,12004,31182,8927,10726,11085,,,0,0
2019,17,Illinois,Total,128748,37979,43371,45360,117759,35747,39478,40647,56607,38266,0,0
2019,17,Illinois,White,63831,18275,21933,22958,57327,16958,19602,20180,,,0,0
2000,18,Indiana,Total,,,,,,,,,7064,3553,0,0
2001,18,Indiana,Asian,475,40,145,281,394,36,117,233,,,0,0
2001,18,Indiana,Black,367,2,105,254,342,2,99,236,,,0,0
2001,18,Indiana,Hispanic,183,3,60,119,152,1,47,103,,,0,0
2001,18,Indiana,Total,10704,359,3151,6980,9256,310,2604,6157,7426,3705,0,0
2001,18,Indiana,White,9238,300,2703,6064,8008,258,2226,5376,,,0,0
2002,18,Indiana,Asian,489,47,155,279,411,45,123,237,,,0,0
2002,18,Indiana,Black,370,8,86,268,339,8,72,251,,,0,0
2002,18,Indiana,Hispanic,166,5,57,100,143,5,44,90,,,0,0
2002,18,Indiana,Total,11425,531,3331,7333,9935,467,2839,6429,7575,4134,0,0
2002,18,Indiana,White,9883,436,2897,6378,8628,378,2491,5610,,,0,0
2003,18,Indiana,Asian,608,68,202,325,511,63,163,273,,,0,0
2003,18,Indiana,Black,457,31,136,283,413,30,125,251,,,0,0
2003,18,Indiana,Hispanic,189,9,59,117,158,8,51,95,,,0,0
2003,18,Indiana,Total,13206,759,4196,7918,11512,696,3579,6935,8115,4352,0,0
2003,18,Indiana,White,11399,618,3609,6895,9977,564,3094,6068,,,0,0
2004,18,Indiana,Asian,695,87,259,332,576,75,216,270,,,0,0
2004,18,Indiana,Black,539,34,183,301,469,33,158,261,,,0,0
2004,18,Indiana,Hispanic,192,6,68,112,170,4,62,99,,,0,0
2004,18,Indiana,Total,14839,966,4776,8567,12657,867,4034,7301,8926,4313,0,0
2004,18,Indiana,White,12746,782,4020,7494,10900,705,3404,6401,,,0,0
2005,18,Indiana,Asian,844,139,299,386,722,132,249,327,,,0,0
2005,18,Indiana,Black,594,46,187,333,534,45,172,294,,,0,0
2005,18,Indiana,Hispanic,263,10,96,148,232,8,85,134,,,0,0
2005,18,Indiana,Total,17898,1474,5983,9869,15534,1327,5170,8559,10255,4935,0,0
2005,18,Indiana,White,15351,1190,5114,8582,13348,1064,4428,7462,,,0,0
2006,18,Indiana,Asian,937,169,315,429,801,159,269,352,,,1,1
2006,18,Indiana,Black,669,53,207,389,619,51,191,358,,,1,1
2006,18,Indiana,Hispanic,427,26,154,227,352,20,120,198,,,1,1
2006,18,Indiana,Total,18517,1684,6364,9731,16058,1490,5524,8464,10908,5377,1,1
2006,18,Indiana,White,15588,1341,5431,8317,13538,1177,4725,7239,,,1,1
2007,18,Indiana,Asian,1058,235,355,446,912,216,308,369,,,1,1
2007,18,Indiana,Black,746,86,213,412,688,79,197,379,,,1,1
2007,18,Indiana,Hispanic,525,50,198,256,440,44,172,211,,,1,1
2007,18,Indiana,Total,20921,2568,7162,10507,18160,2295,6251,9014,11306,5786,1,1
2007,18,Indiana,White,17695,2058,6101,9022,15341,1829,5311,7747,,,1,1
2008,18,Indiana,Asian,1205,297,385,501,1031,276,317,421,,,1,1
2008,18,Indiana,Black,910,163,316,400,842,155,282,376,,,1,1
2008,18,Indiana,Hispanic,682,89,235,337,603,83,206,297,,,1,1
2008,18,Indiana,Total,23237,3321,7796,11504,20385,3079,6855,9936,12393,6283,1,1
2008,18,Indiana,White,19579,2623,6560,9934,17170,2426,5793,8567,,,1,1
2009,18,Indiana,Asian,1327,291,527,476,1117,271,439,382,,,1,1
2009,18,Indiana,Black,1246,185,492,531,1107,173,426,474,,,1,1
2009,18,Indiana,Hispanic,915,78,427,375,816,67,383,332,,,1,1
2009,18,Indiana,Total,27683,3435,11637,11661,24360,3180,10327,10011,13098,6591,1,1
2009,18,Indiana,White,22950,2720,9744,9826,20211,2517,8673,8441,,,1,1
2010,18,Indiana,Asian,1607,367,544,665,1355,325,464,540,,,1,1
2010,18,Indiana,Black,1795,222,672,841,1606,207,606,742,,,1,1
2010,18,Indiana,Hispanic,1384,153,544,648,1276,145,501,593,,,1,1
2010,18,Indiana,Total,35036,4469,13492,15849,31216,4122,12101,13931,18425,7807,1,1
2010,18,Indiana,White,28600,3534,11193,13110,25502,3266,10050,11524,,,1,1
2011,18,Indiana,Asian,1746,426,629,646,1481,389,529,522,,,1,1
2011,18,Indiana,Black,2038,332,751,874,1875,320,701,780,,,1,1
2011,18,Indiana,Hispanic,1673,222,674,724,1553,203,634,667,,,1,1
2011,18,Indiana,Total,38418,5160,15166,16864,34529,4783,13730,14929,20047,8772,1,1
2011,18,Indiana,White,31281,3912,12484,13963,28095,3619,11291,12381,,,1,1
2012,18,Indiana,Asian,1941,483,753,682,1667,445,641,561,,,1,1
2012,18,Indiana,Black,2200,359,842,954,2035,346,785,864,,,1,1
2012,18,Indiana,Hispanic,1990,280,870,812,1873,265,819,763,,,1,1
2012,18,Indiana,Total,41302,6327,16733,17645,37147,5855,15178,15590,21260,9634,1,1
2012,18,Indiana,White,32999,4769,13474,14380,29614,4404,12215,12667,,,1,1
2013,18,Indiana,Asian,2168,547,794,798,1872,497,685,662,,,1,1
2013,18,Indiana,Black,2450,413,957,1009,2209,399,866,873,,,1,1
2013,18,Indiana,Hispanic,2237,316,890,983,2083,300,832,905,,,1,1
2013,18,Indiana,Total,42230,6961,16973,17571,37760,6355,15342,15422,22256,10298,1,1
2013,18,Indiana,White,33762,5344,13689,14250,30149,4841,12379,12521,,,1,1
2014,18,Indiana,Asian,2339,622,833,847,2025,566,707,718,,,1,1
2014,18,Indiana,Black,2652,490,1053,1036,2374,419,958,932,,,1,1
2014,18,Indiana,Hispanic,2597,425,1062,1050,2423,403,994,969,,,1,1
2014,18,Indiana,Total,44390,7700,17502,18229,39804,7108,15757,16069,22933,11305,1,1
2014,18,Indiana,White,35119,5778,13897,14758,31445,5370,12481,12977,,,1,1
2015,18,Indiana,Asian,2500,743,834,877,2161,667,718,733,,,1,1
2015,18,Indiana,Black,2733,609,1069,985,2492,577,972,885,,,1,1
2015,18,Indiana,Hispanic,2783,489,1065,1162,2604,470,989,1084,,,1,1
2015,18,Indiana,Total,46466,8942,18253,18203,41761,8263,16476,16084,23707,11719,1,1
2015,18,Indiana,White,36160,6568,14473,14425,32412,6070,13040,12710,,,1,1
2016,18,Indiana,Asian,2517,723,940,822,2163,659,793,687,,,1,1
2016,18,Indiana,Black,2686,583,1058,980,2442,553,950,877,,,1,1
2016,18,Indiana,Hispanic,3940,775,1631,1454,3682,742,1531,1332,,,1,1
2016,18,Indiana,Total,48803,9805,19562,18610,43922,9106,17647,16430,24140,11904,1,1
2016,18,Indiana,White,37052,7147,14936,14474,33291,6625,13488,12740,,,1,1
2017,18,Indiana,Asian,2712,779,939,950,2277,675,801,760,,,1,1
2017,18,Indiana,Black,2632,543,1053,981,2403,512,938,900,,,1,1
2017,18,Indiana,Hispanic,4342,851,1766,1645,4056,814,1643,1523,,,1,1
2017,18,Indiana,Total,50154,10349,20338,18559,44979,9588,18150,16415,24659,12544,1,1
2017,18,Indiana,White,37604,7517,15468,14069,33666,6987,13775,12417,,,1,1
2018,18,Indiana,Asian,2789,785,998,966,2346,676,834,808,,,1,1
2018,18,Indiana,Black,2698,527,1071,1055,2444,486,984,937,,,1,1
2018,18,Indiana,Hispanic,4747,863,2028,1790,4450,834,1902,1655,,,1,1
2018,18,Indiana,Total,51814,10553,20887,19600,46368,9706,18753,17241,25892,13403,1,1
2018,18,Indiana,White,38480,7643,15581,14794,34345,7035,13944,12969,,,1,1
2019,18,Indiana,Asian,2902,834,1000,1044,2456,734,843,863,,,1,1
2019,18,Indiana,Black,2913,589,1188,1069,2682,551,1097,971,,,1,1
2019,18,Indiana,Hispanic,4994,999,1973,1947,4649,964,1835,1780,,,1,1
2019,18,Indiana,Total,52065,11313,20605,19398,46846,10540,18513,17124,26007,13576,1,1
2019,18,Indiana,White,38202,8144,15281,14327,34295,7588,13686,12620,,,1,1
2000,19,Iowa,Total,,,,,,,,,2324,1663,0,0
2001,19,Iowa,Asian,229,31,98,98,216,31,94,89,,,0,0
2001,19,Iowa,Black,23,2,12,9,21,2,10,9,,,0,0
2001,19,Iowa,Hispanic,23,3,5,15,19,3,3,13,,,0,0
2001,19,Iowa,Total,4069,458,1426,2103,3599,453,1235,1836,2435,1689,0,0
2001,19,Iowa,White,3586,387,1232,1896,3154,383,1060,1646,,,0,0
2002,19,Iowa,Asian,226,38,73,109,215,37,68,104,,,0,0
2002,19,Iowa,Black,26,4,10,12,26,4,10,12,,,0,0
2002,19,Iowa,Hispanic,35,4,11,18,32,4,10,17,,,0,0
2002,19,Iowa,Total,4499,570,1574,2267,3981,559,1367,1973,2667,1828,0,0
2002,19,Iowa,White,3983,488,1389,2039,3502,478,1196,1765,,,0,0
2003,19,Iowa,Asian,239,31,96,103,223,30,90,94,,,0,0
2003,19,Iowa,Black,34,3,15,15,33,3,15,14,,,0,0
2003,19,Iowa,Hispanic,45,4,18,23,40,4,18,18,,,0,0
2003,19,Iowa,Total,5141,640,1854,2531,4535,610,1612,2212,2993,2041,0,0
2003,19,Iowa,White,4594,564,1649,2284,4032,537,1420,1993,,,0,0
2004,19,Iowa,Asian,269,58,87,118,248,55,79,110,,,0,0
2004,19,Iowa,Black,35,10,8,17,35,10,8,17,,,0,0
2004,19,Iowa,Hispanic,48,5,21,22,48,5,21,22,,,0,0
2004,19,Iowa,Total,5425,836,1767,2665,4851,818,1565,2330,3275,2266,0,0
2004,19,Iowa,White,4813,712,1558,2407,4281,699,1376,2086,,,0,0
2005,19,Iowa,Asian,311,66,122,112,289,63,110,106,,,0,0
2005,19,Iowa,Black,69,9,27,30,65,9,25,28,,,0,0
2005,19,Iowa,Hispanic,83,12,32,38,76,10,29,36,,,0,0
2005,19,Iowa,Total,6047,1061,2164,2666,5448,1030,1887,2387,3281,2248,0,0
2005,19,Iowa,White,5233,900,1878,2338,4712,877,1629,2096,,,0,0
2006,19,Iowa,Asian,350,90,118,136,325,86,109,126,,,0,0
2006,19,Iowa,Black,81,19,22,37,79,19,22,36,,,0,0
2006,19,Iowa,Hispanic,120,17,44,56,115,17,44,51,,,0,0
2006,19,Iowa,Total,6607,1168,2368,2874,6076,1136,2152,2614,3714,2476,0,0
2006,19,Iowa,White,5730,981,2072,2527,5262,957,1876,2292,,,0,0
2007,19,Iowa,Asian,362,78,146,132,338,76,135,122,,,0,0
2007,19,Iowa,Black,78,17,28,31,75,16,26,31,,,0,0
2007,19,Iowa,Hispanic,138,20,52,62,126,19,45,59,,,0,0
2007,19,Iowa,Total,7127,1234,2664,3001,6576,1211,2402,2752,3989,2640,0,0
2007,19,Iowa,White,6213,1050,2321,2671,5723,1034,2089,2440,,,0,0
2008,19,Iowa,Asian,419,104,143,157,392,102,133,143,,,0,0
2008,19,Iowa,Black,104,20,38,42,102,20,37,41,,,0,0
2008,19,Iowa,Hispanic,159,25,70,61,145,25,65,53,,,0,0
2008,19,Iowa,Total,7798,1458,2670,3443,7156,1423,2407,3119,4446,2932,0,0
2008,19,Iowa,White,6792,1237,2321,3059,6212,1206,2081,2764,,,0,0
2009,19,Iowa,Asian,421,112,150,147,393,110,136,136,,,0,0
2009,19,Iowa,Black,137,27,53,54,133,27,50,53,,,0,0
2009,19,Iowa,Hispanic,238,40,83,108,229,39,80,104,,,0,0
2009,19,Iowa,Total,8298,1531,2952,3610,7723,1489,2699,3346,4687,2929,0,0
2009,19,Iowa,White,7140,1281,2574,3134,6628,1245,2348,2894,,,0,0
2010,19,Iowa,Asian,507,112,197,189,477,110,184,174,,,0,0
2010,19,Iowa,Black,136,26,39,67,134,26,39,66,,,0,0
2010,19,Iowa,Hispanic,262,44,104,110,251,43,99,106,,,0,0
2010,19,Iowa,Total,8979,1664,3180,3941,8296,1623,2854,3645,5135,3145,0,0
2010,19,Iowa,White,7667,1402,2728,3408,7062,1365,2436,3142,,,0,0
2011,19,Iowa,Asian,548,140,187,213,509,137,170,194,,,0,0
2011,19,Iowa,Black,173,33,68,68,167,33,65,65,,,0,0
2011,19,Iowa,Hispanic,311,50,90,162,291,47,85,150,,,0,0
2011,19,Iowa,Total,9609,1879,3292,4215,8816,1823,2948,3839,5345,3392,0,0
2011,19,Iowa,White,8107,1551,2767,3627,7420,1506,2463,3300,,,0,0
2012,19,Iowa,Asian,609,180,209,217,577,178,195,201,,,0,0
2012,19,Iowa,Black,234,68,81,82,224,67,80,74,,,0,0
2012,19,Iowa,Hispanic,407,108,128,166,385,102,119,160,,,0,0
2012,19,Iowa,Total,10443,2391,3557,4338,9593,2265,3188,4000,5542,3481,0,0
2012,19,Iowa,White,8644,1881,2980,3677,7902,1766,2654,3388,,,0,0
2013,19,Iowa,Asian,698,182,266,243,659,180,250,222,,,0,0
2013,19,Iowa,Black,325,93,115,115,317,91,112,113,,,0,0
2013,19,Iowa,Hispanic,465,92,178,189,442,88,173,175,,,0,0
2013,19,Iowa,Total,11084,2510,4059,4387,10220,2371,3713,4026,5707,3551,0,0
2013,19,Iowa,White,9087,1999,3349,3656,8318,1876,3030,3340,,,0,0
2014,19,Iowa,Asian,787,226,259,282,742,220,238,266,,,0,0
2014,19,Iowa,Black,355,125,114,112,349,125,111,109,,,0,0
2014,19,Iowa,Hispanic,584,124,186,255,560,119,178,244,,,0,0
2014,19,Iowa,Total,12029,2886,4204,4624,11165,2771,3826,4278,6298,3854,0,0
2014,19,Iowa,White,9724,2213,3498,3808,8965,2118,3161,3498,,,0,0
2015,19,Iowa,Asian,841,245,293,286,788,238,280,254,,,0,0
2015,19,Iowa,Black,384,109,129,131,380,108,127,130,,,0,0
2015,19,Iowa,Hispanic,671,160,236,252,645,155,224,243,,,0,0
2015,19,Iowa,Total,12449,3253,4328,4563,11636,3134,3956,4251,6343,4039,0,0
2015,19,Iowa,White,9897,2506,3471,3726,9201,2410,3139,3466,,,0,0
2016,19,Iowa,Asian,853,293,267,288,800,291,243,261,,,0,0
2016,19,Iowa,Black,390,140,121,119,384,139,120,115,,,0,0
2016,19,Iowa,Hispanic,1066,296,364,383,1023,293,349,358,,,0,0
2016,19,Iowa,Total,13267,3580,4731,4730,12429,3486,4340,4380,6680,4203,0,0
2016,19,Iowa,White,10198,2594,3729,3736,9482,2507,3386,3452,,,0,0
2017,19,Iowa,Asian,863,235,323,289,805,227,312,252,,,0,0
2017,19,Iowa,Black,363,116,132,103,357,115,128,103,,,0,0
2017,19,Iowa,Hispanic,1017,295,360,344,980,287,351,324,,,0,0
2017,19,Iowa,Total,12981,3499,4704,4587,12120,3362,4333,4241,6837,4276,0,0
2017,19,Iowa,White,9946,2593,3645,3616,9217,2478,3311,3338,,,0,0
2018,19,Iowa,Asian,933,292,307,322,883,290,276,305,,,0,0
2018,19,Iowa,Black,409,147,123,131,404,146,121,129,,,0,0
2018,19,Iowa,Hispanic,1199,309,461,412,1160,305,449,389,,,0,0
2018,19,Iowa,Total,13591,3813,4756,4852,12826,3728,4420,4512,7283,4542,0,0
2018,19,Iowa,White,10251,2823,3595,3739,9615,2753,3318,3452,,,0,0
2019,19,Iowa,Asian,1050,360,375,306,968,347,346,269,,,0,0
2019,19,Iowa,Black,465,170,158,132,459,170,155,129,,,0,0
2019,19,Iowa,Hispanic,1272,366,456,437,1237,356,447,421,,,0,0
2019,19,Iowa,Total,13658,4183,4715,4595,12873,4050,4411,4258,7003,4344,0,0
2019,19,Iowa,White,10009,2985,3437,3491,9376,2878,3194,3216,,,0,0
2000,20,Kansas,Total,,,,,,,,,2026,1278,0,0
2001,20,Kansas,Asian,228,40,84,96,199,36,70,86,,,0,0
2001,20,Kansas,Black,157,4,76,74,154,3,74,74,,,0,0
2001,20,Kansas,Hispanic,71,2,30,36,63,2,26,33,,,0,0
2001,20,Kansas,Total,3666,334,1600,1633,3208,290,1361,1474,2340,1493,0,0
2001,20,Kansas,White,2984,266,1317,1326,2591,228,1112,1187,,,0,0
2002,20,Kansas,Asian,237,41,91,101,218,37,85,92,,,0,0
2002,20,Kansas,Black,104,3,55,44,98,3,52,41,,,0,0
2002,20,Kansas,Hispanic,69,3,32,32,65,3,30,30,,,0,0
2002,20,Kansas,Total,3940,387,1742,1729,3580,354,1574,1576,2458,1631,0,0
2002,20,Kansas,White,3321,310,1474,1473,3020,286,1328,1347,,,0,0
2003,20,Kansas,Asian,289,41,139,108,268,37,131,99,,,0,0
2003,20,Kansas,Black,132,3,61,63,128,3,60,60,,,0,0
2003,20,Kansas,Hispanic,81,5,30,41,74,5,29,35,,,0,0
2003,20,Kansas,Total,4208,424,1784,1885,3797,377,1626,1695,2535,1727,0,0
2003,20,Kansas,White,3475,352,1455,1575,3117,311,1312,1414,,,0,0
2004,20,Kansas,Asian,351,69,112,157,325,67,103,142,,,0,0
2004,20,Kansas,Black,145,12,64,61,141,12,61,60,,,0,0
2004,20,Kansas,Hispanic,77,7,29,37,75,6,28,37,,,0,0
2004,20,Kansas,Total,4553,655,1744,1925,4157,614,1586,1741,2679,1900,0,0
2004,20,Kansas,White,3703,526,1438,1567,3365,491,1310,1402,,,0,0
2005,20,Kansas,Asian,390,91,163,129,361,91,146,117,,,0,0
2005,20,Kansas,Black,140,13,65,56,137,13,64,54,,,0,0
2005,20,Kansas,Hispanic,141,8,57,73,130,8,52,67,,,0,0
2005,20,Kansas,Total,5301,826,2159,2156,4920,811,1960,2000,2843,1973,0,0
2005,20,Kansas,White,4289,652,1740,1777,3977,640,1579,1646,,,0,0
2006,20,Kansas,Asian,446,98,165,171,418,94,155,157,,,0,0
2006,20,Kansas,Black,161,12,68,71,154,12,64,68,,,0,0
2006,20,Kansas,Hispanic,225,27,89,99,205,25,76,95,,,0,0
2006,20,Kansas,Total,5903,884,2258,2533,5491,852,2073,2353,3419,2197,0,0
2006,20,Kansas,White,4772,701,1831,2097,4443,679,1685,1947,,,0,0
2007,20,Kansas,Asian,479,105,183,167,451,100,172,155,,,0,0
2007,20,Kansas,Black,220,21,107,83,216,21,106,80,,,0,0
2007,20,Kansas,Hispanic,289,42,135,102,273,40,131,92,,,0,0
2007,20,Kansas,Total,6776,1180,2668,2598,6323,1159,2456,2394,3519,2208,0,0
2007,20,Kansas,White,5453,961,2109,2143,5076,951,1927,1971,,,0,0
2008,20,Kansas,Asian,573,138,197,220,531,134,178,202,,,0,0
2008,20,Kansas,Black,299,24,144,121,291,23,142,116,,,0,0
2008,20,Kansas,Hispanic,355,37,168,139,339,37,158,133,,,0,0
2008,20,Kansas,Total,7766,1341,3055,3118,7287,1312,2849,2899,4070,2562,0,0
2008,20,Kansas,White,6165,1076,2403,2515,5783,1058,2235,2336,,,0,0
2009,20,Kansas,Asian,613,132,223,236,575,131,205,218,,,0,0
2009,20,Kansas,Black,328,20,129,163,325,20,128,161,,,0,0
2009,20,Kansas,Hispanic,520,77,212,221,499,75,207,207,,,0,0
2009,20,Kansas,Total,8193,1434,3163,3324,7758,1412,2973,3116,4638,2706,0,0
2009,20,Kansas,White,6292,1136,2441,2545,5935,1118,2281,2379,,,0,0
2010,20,Kansas,Asian,625,142,224,232,590,140,212,214,,,0,0
2010,20,Kansas,Black,301,38,135,114,291,37,129,112,,,0,0
2010,20,Kansas,Hispanic,554,81,210,247,532,79,202,235,,,0,0
2010,20,Kansas,Total,8209,1341,3281,3213,7616,1308,2985,2977,4705,2805,0,0
2010,20,Kansas,White,6166,1018,2509,2443,5675,991,2259,2246,,,0,0
2011,20,Kansas,Asian,723,161,271,275,684,152,257,259,,,0,0
2011,20,Kansas,Black,345,31,168,129,335,27,166,125,,,0,0
2011,20,Kansas,Hispanic,736,126,314,268,708,120,304,256,,,0,0
2011,20,Kansas,Total,9201,1634,3722,3546,8555,1567,3448,3258,4853,2943,0,0
2011,20,Kansas,White,6844,1218,2758,2684,6312,1175,2527,2442,,,0,0
2012,20,Kansas,Asian,789,185,305,291,745,178,285,274,,,0,0
2012,20,Kansas,Black,381,39,188,147,369,38,183,141,,,0,0
2012,20,Kansas,Hispanic,772,105,349,312,737,102,328,301,,,0,0
2012,20,Kansas,Total,9462,1746,3980,3607,8796,1696,3623,3359,5167,3117,0,0
2012,20,Kansas,White,6912,1323,2865,2646,6374,1289,2572,2444,,,0,0
2013,20,Kansas,Asian,879,239,333,303,819,229,311,276,,,0,0
2013,20,Kansas,Black,418,54,193,165,405,53,189,157,,,0,0
2013,20,Kansas,Hispanic,871,127,379,354,837,123,360,343,,,0,0
2013,20,Kansas,Total,9817,1947,4163,3564,9133,1886,3834,3285,5231,3177,0,0
2013,20,Kansas,White,7116,1439,3030,2566,6566,1397,2757,2340,,,0,0
2014,20,Kansas,Asian,905,234,325,329,846,223,307,301,,,0,0
2014,20,Kansas,Black,405,60,172,165,392,59,164,161,,,0,0
2014,20,Kansas,Hispanic,912,162,395,335,876,161,377,318,,,0,0
2014,20,Kansas,Total,9702,1961,3961,3619,8977,1884,3656,3282,5426,3305,0,0
2014,20,Kansas,White,6963,1412,2844,2613,6383,1358,2595,2338,,,0,0
2015,20,Kansas,Asian,1000,290,369,323,925,282,330,297,,,0,0
2015,20,Kansas,Black,374,43,171,156,360,43,165,148,,,0,0
2015,20,Kansas,Hispanic,940,156,429,343,909,154,411,333,,,0,0
2015,20,Kansas,Total,10023,1993,4378,3503,9219,1928,3938,3213,5484,3295,0,0
2015,20,Kansas,White,7072,1395,3099,2493,6437,1342,2748,2267,,,0,0
2016,20,Kansas,Asian,992,313,328,336,899,297,299,288,,,0,0
2016,20,Kansas,Black,285,36,127,119,277,36,123,115,,,0,0
2016,20,Kansas,Hispanic,1262,214,566,465,1206,211,538,440,,,0,0
2016,20,Kansas,Total,10363,2204,4286,3744,9501,2144,3876,3361,5659,3430,0,0
2016,20,Kansas,White,7091,1507,2964,2556,6433,1471,2640,2265,,,0,0
2017,20,Kansas,Asian,1069,346,380,321,976,335,336,286,,,0,0
2017,20,Kansas,Black,310,37,157,112,298,36,147,111,,,0,0
2017,20,Kansas,Hispanic,1278,205,603,439,1213,200,571,413,,,0,0
2017,20,Kansas,Total,10616,2198,4620,3633,9694,2137,4178,3235,5492,3304,0,0
2017,20,Kansas,White,7238,1478,3156,2525,6528,1437,2818,2207,,,0,0
2018,20,Kansas,Asian,1085,374,387,317,995,364,350,277,,,0,0
2018,20,Kansas,Black,269,59,114,93,259,59,110,87,,,0,0
2018,20,Kansas,Hispanic,994,229,395,360,924,223,368,324,,,0,0
2018,20,Kansas,Total,10112,2285,4251,3458,9187,2192,3848,3057,5833,3517,0,0
2018,20,Kansas,White,7064,1461,3058,2477,6362,1392,2743,2177,,,0,0
2019,20,Kansas,Asian,1179,431,394,350,1081,416,360,303,,,0,0
2019,20,Kansas,Black,267,68,112,82,258,66,108,79,,,0,0
2019,20,Kansas,Hispanic,1021,237,452,322,912,216,418,272,,,0,0
2019,20,Kansas,Total,10147,2521,4124,3430,9097,2347,3716,2980,5397,3500,0,0
2019,20,Kansas,White,7004,1614,2899,2456,6219,1492,2579,2124,,,0,0
2000,21,Kentucky,Total,,,,,,,,,3920,2027,0,0
2001,21,Kentucky,Asian,274,33,116,123,224,33,95,95,,,0,0
2001,21,Kentucky,Black,165,11,68,80,150,11,65,68,,,0,0
2001,21,Kentucky,Hispanic,44,0,19,25,35,0,17,18,,,0,0
2001,21,Kentucky,Total,8028,408,3333,4081,6424,375,2683,3195,4266,2210,0,0
